bicicleteria;direccion;telefono;pagina_web;barrio;comuna;latitude;longitude;geojson
Ding Dong Bikes;Venta web;4672 7800;http://www.dingdongbikes.com/;;;;;
Bicicletas Araoz;Araoz 1458;011-4833-7887 / 011-4832-7704;http://www.bicicletasaraoz.com.ar/;Palermo;14;-34.5924;-58.4256;"{""type"":""Point"",""coordinates"":[-58.42561,-34.59241]}"
Canaglia Recoleta;Libertad 1238;4811 9112;http://www.canaglia.com.ar/;Recoleta;2;-34.5939;-58.3845;"{""type"":""Point"",""coordinates"":[-58.38449,-34.59386]}"
Walter;Linch 3914;4912-2738;sin pagina web;Pompeya;4;-34.6532;-58.4155;"{""type"":""Point"",""coordinates"":[-58.41548,-34.65323]}"
Venton;San Nicolas 2338 Puerta B;4568-0123;http://www.venton.com.ar/;Villa del Parque;11;-34.6113;-58.4969;"{""type"":""Point"",""coordinates"":[-58.49686,-34.61131]}"
Roda2oro;Oro 2305;4774-0403;http://www.roda2oro.com/;Palermo;14;-34.5813;-58.4261;"{""type"":""Point"",""coordinates"":[-58.4261,-34.58129]}"
Busato;Giribone 990;4553-4278;sin pagina web;Villa Ortúzar;15;-34.5802;-58.4563;"{""type"":""Point"",""coordinates"":[-58.4563,-34.58023]}"
Bici Shop;Villaroel 1039;4855-8329;http://www.tubicicleteria.com;Villa Crespo;15;-34.5947;-58.443;"{""type"":""Point"",""coordinates"":[-58.443,-34.59468]}"
Bicicleterias El colo;Rivadavia 770;4342-3887;http://www.bicicleteriaelcolo.com.ar/;San Nicolás;1;-34.6082;-58.3774;"{""type"":""Point"",""coordinates"":[-58.37738,-34.60821]}"
Belosophy;Talcahuano 1235;4815 7329;http://belosophybikes.com/;;14;-34.594;-58.3859;"{""type"":""Point"",""coordinates"":[-58.38589,-34.59395]}"
Bicicleterias Ale;Av. La Plata 795;4923-3931;http://www.alebikes.com.ar/;Caballito;6;-34.6249;-58.4273;"{""type"":""Point"",""coordinates"":[-58.42735,-34.62486]}"
Los Primos;Asamblea 1126;4921-2906;sin pagina web;Parque Chacabuco;7;-34.6357;-58.4406;"{""type"":""Point"",""coordinates"":[-58.44063,-34.63569]}"
Rodados Schisano;Av. Donato Alvarez 1064;4584-8159;http://rodadoschisano.blogspot.com.ar/;Caballito;7;-34.6143;-58.4593;"{""type"":""Point"",""coordinates"":[-58.45932,-34.6143]}"
Rodados Universo;Av Directorio 4699;4682-3627;http://www.rodadosuniverso.com.ar/;Parque Avellaneda;9;-34.6483;-58.4881;"{""type"":""Point"",""coordinates"":[-58.4881,-34.64827]}"
Rodados Universo;Av. Rivadavia 8829;4671-0478;http://www.rodadosuniverso.com.ar/;Velez Sarsfield;10;-34.6353;-58.4883;"{""type"":""Point"",""coordinates"":[-58.48827,-34.63526]}"
Rodados Diaz;Av Mosconi 2255;4571-6481/4574-1613;http://www.rodadosdiaz.com.ar/;Villa Pueyrredón;12;-34.5817;-58.495;"{""type"":""Point"",""coordinates"":[-58.49498,-34.58173]}"
Sustentator;Martin Coronado 3124;1541887681;http://sustentator.com;Palermo;14;-34.5771;-58.4015;"{""type"":""Point"",""coordinates"":[-58.40154,-34.57706]}"
Vida Sana Bike;Gascon 1349;6380-3192;http://www.vidasanabike.com.ar;;14;-34.5947;-58.4229;"{""type"":""Point"",""coordinates"":[-58.42288,-34.59471]}"
La esquina del Rodado;Av. Garay 900;4300-2781;sin pagina web;San Telmo;1;-34.6256;-58.3776;"{""type"":""Point"",""coordinates"":[-58.37756,-34.62555]}"
Canaglia;Avda. Cordoba 3489;3535-2381;http://www.canaglia.com/;Recoleta;2;-34.5978;-58.4155;"{""type"":""Point"",""coordinates"":[-58.41555,-34.59777]}"
